time,g,°C,rssi
12/14/2020  11:59:32 PM,0.04,25,-63
12/14/2020  11:57:32 PM,0.025,25,-57.5
12/14/2020  11:55:32 PM,0.041,25,-63
12/14/2020  11:53:31 PM,0.033,25,-62.5
12/14/2020  11:51:31 PM,0.04,25,-62
12/14/2020  11:49:31 PM,0.038,25,-63
12/14/2020  11:47:31 PM,0.045,25,-61
12/14/2020  11:45:31 PM,0.031,25,-61
12/14/2020  11:43:31 PM,0.046,25,-64
12/14/2020  11:41:31 PM,0.041,25,-64
12/14/2020  11:39:30 PM,0.045,25,-60
12/14/2020  11:37:30 PM,0.035,25,-65
12/14/2020  11:35:30 PM,0.023,25,-58.5
12/14/2020  11:33:30 PM,0.041,25,-61.5
12/14/2020  11:31:30 PM,0.036,25,-57
12/14/2020  11:29:30 PM,0.028,25,-64.5
12/14/2020  11:27:30 PM,0.041,25,-62.5
12/14/2020  11:25:29 PM,0.027,25,-63
12/14/2020  11:23:29 PM,0.041,25,-64.5
12/14/2020  11:21:29 PM,0.033,25,-63
12/14/2020  11:19:29 PM,0.03,25,-63
12/14/2020  11:17:29 PM,0.045,25,-63
12/14/2020  11:15:29 PM,0.036,25,-61.5
12/14/2020  11:13:28 PM,0.018,25,-60
12/14/2020  11:11:28 PM,0.04,25,-63
12/14/2020  11:09:28 PM,0.045,25,-63.5
12/14/2020  11:07:28 PM,0.03,25,-61.5
12/14/2020  11:05:28 PM,0.033,25,-63
12/14/2020  11:03:27 PM,0.031,25,-65
12/14/2020  11:01:27 PM,0.028,25,-57
12/14/2020  10:59:27 PM,0.035,25,-63
12/14/2020  10:57:27 PM,0.043,25,-64.5
12/14/2020  10:55:27 PM,0.026,25,-58.5
12/14/2020  10:53:27 PM,0.037,25,-62.5
12/14/2020  10:51:26 PM,0.036,25,-64.5
12/14/2020  10:49:26 PM,0.022,25,-63
12/14/2020  10:47:26 PM,0.048,25,-55
12/14/2020  10:45:26 PM,0.041,25,-63
12/14/2020  10:43:26 PM,0.037,25,-62.5
12/14/2020  10:41:25 PM,0.037,25,-63.5
12/14/2020  10:39:25 PM,0.045,25,-62
12/14/2020  10:37:25 PM,0.036,25,-60.5
12/14/2020  10:35:25 PM,0.037,25,-62
12/14/2020  10:33:25 PM,0.038,25,-59
12/14/2020  10:31:25 PM,0.046,25,-63
12/14/2020  10:29:24 PM,0.023,25,-63
12/14/2020  10:27:24 PM,0.042,25,-64.5
12/14/2020  10:25:24 PM,0.032,25,-63
12/14/2020  10:23:24 PM,0.041,25,-63
12/14/2020  10:21:24 PM,0.035,25,-56
12/14/2020  10:19:23 PM,0.032,25,-62
12/14/2020  10:17:23 PM,0.045,25,-62.5
12/14/2020  10:15:23 PM,0.048,25,-63.5
12/14/2020  10:13:23 PM,0.042,25,-63.5
12/14/2020  10:11:23 PM,0.036,25,-63.5
12/14/2020  10:09:23 PM,0.038,25,-58.5
12/14/2020  10:07:22 PM,0.047,25,-63.5
12/14/2020  10:05:22 PM,0.041,25,-55.5
12/14/2020  10:03:22 PM,0.042,25,-60.5
12/14/2020  10:01:22 PM,0.052,25,-63
12/14/2020  9:59:22 PM,0.041,25,-56
12/14/2020  9:57:22 PM,0.026,25,-64
12/14/2020  9:55:22 PM,0.037,25,-63
12/14/2020  9:53:21 PM,0.046,25,-58
12/14/2020  9:51:21 PM,0.03,25,-57
12/14/2020  9:49:21 PM,0.041,25,-65
12/14/2020  9:47:21 PM,0.05,25,-57
12/14/2020  9:45:21 PM,0.038,25,-58.5
12/14/2020  9:43:21 PM,0.032,25,-63
12/14/2020  9:41:21 PM,0.056,25,-63
12/14/2020  9:39:20 PM,0.023,25,-61
12/14/2020  9:38:50 PM,0.127,25,-60
12/14/2020  9:38:49 PM,0.23,25,-62.5
12/14/2020  9:38:46 PM,0.368,25,-57.5
12/14/2020  9:38:45 PM,0.838,25,-64
12/14/2020  9:38:43 PM,0.172,25,-63
12/14/2020  9:38:36 PM,0.052,25,-65
12/14/2020  9:38:34 PM,0.177,25,-65
12/14/2020  9:38:12 PM,0.057,25,-61
12/14/2020  9:38:08 PM,0.168,25,-64
12/14/2020  9:38:06 PM,0.052,25,-59.5
12/14/2020  9:38:02 PM,0.158,25,-63
12/14/2020  9:38:00 PM,0.273,25,-63
12/14/2020  9:37:57 PM,0.187,25,-60.5
12/14/2020  9:37:36 PM,0.068,25,-58.5
12/14/2020  9:37:34 PM,0.172,25,-64
12/14/2020  9:37:32 PM,0.356,25,-64
12/14/2020  9:36:29 PM,0.068,25,-63.5
12/14/2020  9:36:27 PM,0.185,25,-63
12/14/2020  9:36:26 PM,0.546,25,-63.5
12/14/2020  9:36:24 PM,0.085,25,-63.5
12/14/2020  9:36:21 PM,0.205,25,-63
12/14/2020  9:36:20 PM,0.313,25,-62.5
12/14/2020  9:36:19 PM,0.45,25,-60
12/14/2020  9:36:18 PM,0.627,25,-62
12/14/2020  9:36:17 PM,0.37,25,-62
12/14/2020  9:36:14 PM,0.141,25,-64
12/14/2020  9:36:12 PM,0.862,25,-64.5
12/14/2020  9:35:45 PM,0.073,25,-65
12/14/2020  9:35:43 PM,0.18,25,-58
12/14/2020  9:35:28 PM,0.076,25,-59.5
12/14/2020  9:35:26 PM,0.185,25,-63.5
12/14/2020  9:35:25 PM,0.515,25,-64
12/14/2020  9:35:16 PM,0.033,25,-58.5
12/14/2020  9:35:00 PM,0.136,25,-60
12/14/2020  9:34:59 PM,0.478,25,-62.5
12/14/2020  9:34:19 PM,0.056,25,-64.5
12/14/2020  9:34:13 PM,0.158,25,-62.5
12/14/2020  9:33:53 PM,0.05,25,-62
12/14/2020  9:33:51 PM,0.18,25,-65
12/14/2020  9:33:43 PM,0.041,25,-65
12/14/2020  9:33:31 PM,0.146,25,-62.5
12/14/2020  9:33:30 PM,0.276,25,-58.5
12/14/2020  9:33:29 PM,0.665,25,-65
12/14/2020  9:33:27 PM,0.082,25,-62
12/14/2020  9:33:25 PM,0.185,25,-63
12/14/2020  9:33:24 PM,0.323,25,-62
12/14/2020  9:33:22 PM,1.983,25,-64
12/14/2020  9:33:15 PM,0.095,25,-65.5
12/14/2020  9:32:58 PM,0.047,25,-63.5
12/14/2020  9:32:54 PM,0.151,25,-56.5
12/14/2020  9:32:53 PM,0.261,25,-65
12/14/2020  9:32:52 PM,0.75,25,-64
12/14/2020  9:32:49 PM,0.172,25,-64.5
12/14/2020  9:32:44 PM,0.152,25,-65.5
12/14/2020  9:31:46 PM,0.047,25,-64.5
12/14/2020  9:31:38 PM,0.151,25,-58.5
12/14/2020  9:31:37 PM,0.268,25,-63
12/14/2020  9:31:35 PM,0.466,25,-63
12/14/2020  9:31:24 PM,0.061,25,-64.5
12/14/2020  9:31:22 PM,0.212,25,-64.5
12/14/2020  9:31:21 PM,0.45,25,-63.5
12/14/2020  9:30:38 PM,0.052,25,-60.5
12/14/2020  9:30:34 PM,0.163,25,-61
12/14/2020  9:30:29 PM,0.083,25,-64.5
12/14/2020  9:30:27 PM,0.201,25,-63.5
12/14/2020  9:30:26 PM,0.488,25,-66.5
12/14/2020  9:30:09 PM,0.057,25,-62
12/14/2020  9:30:06 PM,0.158,25,-64.5
12/14/2020  9:30:05 PM,0.295,25,-64
12/14/2020  9:30:04 PM,0.826,25,-60.5
12/14/2020  9:30:02 PM,0.31,25,-65
12/14/2020  9:30:00 PM,0.042,25,-57.5
12/14/2020  9:29:57 PM,0.171,25,-65.5
12/14/2020  9:29:55 PM,0.353,25,-62.5
12/14/2020  9:29:49 PM,0.086,25,-63
12/14/2020  9:29:47 PM,0.188,25,-60
12/14/2020  9:29:19 PM,0.031,25,-62.5
12/14/2020  9:29:12 PM,0.146,25,-57
12/14/2020  9:29:11 PM,0.247,25,-61
12/14/2020  9:29:09 PM,0.683,25,-63.5
12/14/2020  9:29:07 PM,2.95,25,-56
12/14/2020  9:28:32 PM,0.037,25,-56
12/14/2020  9:28:27 PM,0.14,25,-62.5
12/14/2020  9:28:26 PM,0.257,25,-63
12/14/2020  9:28:25 PM,0.775,25,-61.5
12/14/2020  9:28:14 PM,0.03,25,-60
12/14/2020  9:27:57 PM,0.131,25,-63
12/14/2020  9:27:53 PM,0.24,25,-60
12/14/2020  9:27:50 PM,0.045,25,-64
12/14/2020  9:27:46 PM,0.16,25,-62.5
12/14/2020  9:27:45 PM,0.268,25,-64.5
12/14/2020  9:27:44 PM,0.42,25,-64.5
12/14/2020  9:27:42 PM,2.445,25,-61
12/14/2020  9:27:23 PM,0.073,25,-62
12/14/2020  9:27:20 PM,0.182,25,-61
12/14/2020  9:27:19 PM,0.332,25,-58
12/14/2020  9:27:18 PM,0.573,25,-60
12/14/2020  9:27:17 PM,1.133,25,-64
12/14/2020  9:26:49 PM,0.067,25,-63
12/14/2020  9:26:47 PM,0.171,25,-64
12/14/2020  9:26:45 PM,0.368,25,-56.5
12/14/2020  9:26:44 PM,0.858,25,-66.5
12/14/2020  9:26:43 PM,1.828,25,-58.5
12/14/2020  9:26:27 PM,0.043,25,-61.5
12/14/2020  9:26:16 PM,0.147,25,-54
12/14/2020  9:26:15 PM,0.295,25,-58
12/14/2020  9:26:14 PM,0.768,25,-62.5
12/14/2020  9:26:12 PM,0.15,25,-59
12/14/2020  9:26:11 PM,0.357,25,-62.5
12/14/2020  9:26:08 PM,0.087,25,-61
12/14/2020  9:26:06 PM,0.211,25,-62
12/14/2020  9:26:05 PM,0.433,25,-55.5
12/14/2020  9:26:02 PM,0.087,25,-63
12/14/2020  9:26:00 PM,0.232,25,-59
12/14/2020  9:25:59 PM,0.432,25,-59.5
12/14/2020  9:25:58 PM,0.831,25,-65.5
12/14/2020  9:25:56 PM,4.676,25,-65.5
12/14/2020  9:25:50 PM,0.063,25,-63
12/14/2020  9:25:47 PM,0.172,25,-64
12/14/2020  9:25:44 PM,0.481,25,-63
12/14/2020  9:25:30 PM,0.082,25,-63.5
12/14/2020  9:25:29 PM,0.235,25,-64
12/14/2020  9:24:39 PM,0.088,25,-62.5
12/14/2020  9:24:37 PM,0.23,25,-56.5
12/14/2020  9:24:30 PM,0.065,25,-66.5
12/14/2020  9:24:28 PM,0.172,25,-58
12/14/2020  9:24:27 PM,0.332,25,-64
12/14/2020  9:24:25 PM,1.8,25,-63
12/14/2020  9:24:12 PM,0.137,25,-64
12/14/2020  9:24:11 PM,0.242,25,-64
12/14/2020  9:24:09 PM,0.961,25,-61.5
12/14/2020  9:23:55 PM,0.072,25,-63
12/14/2020  9:23:52 PM,0.175,25,-64
12/14/2020  9:23:51 PM,0.456,25,-57
12/14/2020  9:23:37 PM,0.098,25,-54.5
12/14/2020  9:23:35 PM,0.235,25,-64.5
12/14/2020  9:23:34 PM,0.791,25,-63.5
12/14/2020  9:23:30 PM,0.042,25,-65
12/14/2020  9:23:27 PM,0.162,25,-63
12/14/2020  9:23:25 PM,0.397,25,-63.5
12/14/2020  9:22:59 PM,0.055,25,-61
12/14/2020  9:22:56 PM,0.16,25,-63.5
12/14/2020  9:22:54 PM,0.671,25,-65
12/14/2020  9:22:42 PM,0.1,25,-63.5
12/14/2020  9:22:40 PM,0.203,25,-63
