time,g avg,g high,g low,°C avg,°C high,°C low,sample qty,rssi avg,rssi high,rssi low
1/19/2021  8:00:00 PM,0.31,3.441,0.02,25,26,25,495,-63,-54.5,-71.5
1/19/2021  7:00:00 PM,0.325,4.503,0.025,25,26,25,529,-61,-50.5,-75
1/19/2021  6:00:00 PM,0.177,1.55,0.02,26,26,25,73,-57,-53,-61.5
1/19/2021  5:00:00 PM,0.039,0.055,0.022,26,26,26,30,-57,-50.5,-59.5
1/19/2021  4:00:00 PM,0.038,0.053,0.025,26,26,26,30,-57,-50,-59.5
1/19/2021  3:00:00 PM,0.037,0.052,0.026,26,26,25,30,-56,-51,-59.5
1/19/2021  2:00:00 PM,0.221,1.811,0.025,25,26,25,80,-58,-47.5,-62.5
1/19/2021  1:00:00 PM,0.289,3.695,0.018,25,25,24,261,-57,-47,-62
1/19/2021  12:00:00 PM,0.28,5.002,0.025,25,25,25,70,-58,-51.5,-62
1/19/2021  11:00:00 AM,0.172,2.271,0.022,25,25,24,55,-58,-49.5,-65
1/19/2021  10:00:00 AM,0.229,2.575,0.023,24,26,24,68,-58,-49.5,-62
1/19/2021  9:00:00 AM,0.039,0.055,0.02,26,26,25,30,-58,-49.5,-61.5
1/19/2021  8:00:00 AM,0.037,0.051,0.022,25,26,25,30,-59,-52,-62
1/19/2021  7:00:00 AM,0.036,0.053,0.025,25,25,24,30,-58,-49.5,-62
1/19/2021  6:00:00 AM,0.038,0.047,0.013,25,25,25,29,-57,-50,-62
1/19/2021  5:00:00 AM,0.036,0.055,0.022,25,25,25,30,-57,-50,-61.5
1/19/2021  4:00:00 AM,0.035,0.047,0.021,25,25,25,30,-57,-49.5,-62
1/19/2021  3:00:00 AM,0.037,0.052,0.025,25,25,25,30,-57,-48.5,-64
1/19/2021  2:00:00 AM,0.038,0.05,0.03,25,25,25,30,-58,-49,-62.5
1/19/2021  1:00:00 AM,0.036,0.055,0.02,25,25,25,30,-57,-49.5,-62
1/19/2021  12:00:00 AM,0.041,0.053,0.025,25,25,25,30,-59,-50.5,-64.5
1/18/2021  11:00:00 PM,0.038,0.056,0.023,25,25,25,30,-59,-50,-62
1/18/2021  10:00:00 PM,0.039,0.052,0.03,25,25,25,30,-57,-49.5,-62.5
1/18/2021  9:00:00 PM,0.038,0.055,0.026,25,25,25,30,-57,-51,-62
1/18/2021  8:00:00 PM,0.388,4.777,0.023,25,25,25,553,-58,-49,-63
1/18/2021  7:00:00 PM,0.368,6.498,0.026,25,26,25,309,-58,-48.5,-71
1/18/2021  6:00:00 PM,0.036,0.046,0.025,25,26,25,29,-58,-50,-62.5
1/18/2021  5:00:00 PM,0.255,3.165,0.016,26,26,25,232,-58,-49.5,-62.5
1/18/2021  4:00:00 PM,0.126,0.706,0.027,26,26,25,51,-58,-51.5,-62.5
1/18/2021  3:00:00 PM,0.237,1.3,0.025,25,26,25,111,-58,-49,-64
1/18/2021  2:00:00 PM,0.305,4.278,0.025,25,26,24,99,-58,-49,-62.5
1/18/2021  1:00:00 PM,0.342,3.738,0.02,24,25,23,187,-58,-50.5,-67.5
1/18/2021  12:00:00 PM,0.08,0.872,0.025,25,25,25,33,-58,-51,-65.5
1/18/2021  11:00:00 AM,0.19,1.308,0.022,25,25,25,65,-57,-49.5,-61.5
1/18/2021  10:00:00 AM,0.221,2.242,0.025,25,26,25,89,-59,-50.5,-70
1/18/2021  9:00:00 AM,0.079,0.487,0.022,25,26,25,37,-58,-51.5,-66.5
1/18/2021  8:00:00 AM,0.04,0.056,0.022,25,25,24,30,-57,-50,-60
1/18/2021  7:00:00 AM,0.036,0.048,0.018,25,26,24,30,-58,-51.5,-60.5
1/18/2021  6:00:00 AM,0.04,0.058,0.023,25,26,25,30,-57,-52,-60.5
1/18/2021  5:00:00 AM,0.038,0.053,0.022,25,25,25,29,-57,-49,-61
1/18/2021  4:00:00 AM,0.034,0.047,0.025,25,25,25,30,-58,-50.5,-61
1/18/2021  3:00:00 AM,0.037,0.051,0.026,25,25,25,30,-57,-52.5,-61
1/18/2021  2:00:00 AM,0.038,0.052,0.022,25,25,25,30,-57,-51,-61
1/18/2021  1:00:00 AM,0.037,0.055,0.021,25,25,25,30,-57,-52.5,-61
1/18/2021  12:00:00 AM,0.034,0.051,0.022,25,25,25,30,-58,-51.5,-61
1/17/2021  11:00:00 PM,0.037,0.053,0.023,25,25,25,30,-57,-52,-61
1/17/2021  10:00:00 PM,0.036,0.056,0.017,25,25,25,30,-59,-52,-61.5
1/17/2021  9:00:00 PM,0.037,0.053,0.023,25,25,25,30,-58,-53,-62
1/17/2021  8:00:00 PM,0.038,0.051,0.026,25,25,25,30,-58,-52.5,-61
1/17/2021  7:00:00 PM,0.038,0.06,0.027,25,25,25,30,-57,-51.5,-60.5
1/17/2021  6:00:00 PM,0.036,0.057,0.022,25,25,25,30,-57,-52,-61
1/17/2021  5:00:00 PM,0.036,0.051,0.023,25,25,25,30,-57,-50,-60.5
1/17/2021  4:00:00 PM,0.071,0.43,0.026,25,25,25,41,-58,-49.5,-66.5
1/17/2021  3:00:00 PM,0.042,0.156,0.02,25,25,25,31,-57,-52,-60
1/17/2021  2:00:00 PM,0.039,0.052,0.027,25,25,25,30,-57,-50,-60
1/17/2021  1:00:00 PM,0.036,0.055,0.022,25,25,25,30,-57,-52.5,-61
1/17/2021  12:00:00 PM,0.038,0.051,0.026,25,25,25,30,-58,-52,-61.5
1/17/2021  11:00:00 AM,0.037,0.05,0.02,25,25,25,30,-58,-51,-61
1/17/2021  10:00:00 AM,0.039,0.058,0.026,25,25,25,30,-57,-52.5,-60
1/17/2021  9:00:00 AM,0.038,0.061,0.022,25,25,25,29,-58,-50.5,-60.5
1/17/2021  8:00:00 AM,0.039,0.052,0.02,25,25,25,30,-57,-50.5,-60.5
1/17/2021  7:00:00 AM,0.037,0.051,0.025,25,25,24,30,-57,-52,-60
1/17/2021  6:00:00 AM,0.037,0.063,0.025,25,25,24,30,-58,-52,-61
1/17/2021  5:00:00 AM,0.039,0.051,0.021,25,25,25,30,-58,-52,-60.5
1/17/2021  4:00:00 AM,0.036,0.055,0.018,25,25,24,30,-57,-51,-60
1/17/2021  3:00:00 AM,0.038,0.05,0.017,25,25,24,30,-58,-50.5,-61.5
1/17/2021  2:00:00 AM,0.039,0.055,0.025,25,25,24,30,-58,-50,-61
1/17/2021  1:00:00 AM,0.039,0.052,0.028,25,25,25,30,-58,-49.5,-60.5
1/17/2021  12:00:00 AM,0.035,0.046,0.025,25,25,25,30,-58,-53.5,-60.5
1/16/2021  11:00:00 PM,0.035,0.053,0.017,25,25,25,30,-58,-51.5,-60
1/16/2021  10:00:00 PM,0.036,0.048,0.023,25,25,25,30,-57,-52,-62
1/16/2021  9:00:00 PM,0.09,0.946,0.025,25,25,24,37,-58,-52,-61.5
1/16/2021  8:00:00 PM,0.044,0.141,0.025,25,25,25,33,-57,-52.5,-61.5
1/16/2021  7:00:00 PM,0.039,0.061,0.025,25,25,25,30,-58,-51.5,-62
1/16/2021  6:00:00 PM,0.293,3.72,0.025,25,25,25,232,-58,-50.5,-62.5
1/16/2021  5:00:00 PM,0.282,3.851,0.025,25,25,25,100,-58,-51,-61
1/16/2021  4:00:00 PM,0.319,3.31,0.026,25,25,25,309,-58,-49.5,-62.5
1/16/2021  3:00:00 PM,0.303,3.132,0.026,25,25,25,519,-63,-53,-73.5
1/16/2021  2:00:00 PM,0.32,2.753,0.025,25,25,24,264,-62,-55,-79
1/16/2021  1:00:00 PM,0.037,0.048,0.022,25,25,25,29,-62,-57,-64
1/16/2021  12:00:00 PM,0.038,0.057,0.028,25,25,24,30,-62,-59,-63
1/16/2021  11:00:00 AM,0.039,0.052,0.028,25,25,25,30,-62,-59.5,-63.5
1/16/2021  10:00:00 AM,0.038,0.061,0.026,25,25,24,30,-62,-58,-64.5
1/16/2021  9:00:00 AM,0.038,0.055,0.025,25,25,24,30,-62,-59.5,-64.5
1/16/2021  8:00:00 AM,0.038,0.051,0.027,25,25,24,30,-63,-59.5,-65
1/16/2021  7:00:00 AM,0.038,0.058,0.022,25,25,24,30,-62,-60,-63.5
1/16/2021  6:00:00 AM,0.037,0.05,0.025,25,25,24,30,-62,-57.5,-65
1/16/2021  5:00:00 AM,0.037,0.055,0.025,25,25,24,30,-62,-60,-65
1/16/2021  4:00:00 AM,0.038,0.056,0.023,24,25,24,30,-62,-57,-63
1/16/2021  3:00:00 AM,0.038,0.051,0.025,24,25,24,29,-62,-59,-63
1/16/2021  2:00:00 AM,0.036,0.058,0.023,24,25,24,30,-62,-57.5,-63.5
1/16/2021  1:00:00 AM,0.216,2.082,0.022,24,25,24,92,-63,-56.5,-70.5
1/16/2021  12:00:00 AM,0.095,0.486,0.02,25,25,24,44,-63,-57,-68
1/15/2021  11:00:00 PM,0.324,6.19,0.028,25,25,24,302,-64,-55,-74
1/15/2021  10:00:00 PM,0.037,0.055,0.026,24,25,24,30,-65,-60,-69
1/15/2021  9:00:00 PM,0.038,0.057,0.026,24,25,24,29,-66,-62,-68
1/15/2021  8:00:00 PM,0.261,1.678,0.018,24,25,24,101,-64,-57,-70
1/15/2021  7:00:00 PM,0.232,1.871,0.018,24,24,23,85,-63,-56,-68
1/15/2021  6:00:00 PM,0.038,0.063,0.031,24,24,23,29,-64,-59.5,-67.5
1/15/2021  5:00:00 PM,0.037,0.048,0.017,24,24,23,28,-65,-58.5,-67
1/15/2021  4:00:00 PM,0.322,3.956,0.023,23,24,23,193,-64,-58,-68.5
1/15/2021  3:00:00 PM,0.04,0.056,0.026,24,24,23,30,-63,-57.5,-65.5
1/15/2021  2:00:00 PM,0.327,3.515,0.023,23,23,22,278,-64,-56.5,-70.5
1/15/2021  1:00:00 PM,0.349,3.667,0.02,22,23,21,574,-64,-56.5,-76.5
1/15/2021  12:00:00 PM,0.386,6.828,0.023,23,23,22,215,-63,-54,-70.5
1/15/2021  11:00:00 AM,0.235,1.725,0.022,23,23,23,106,-61,-55.5,-65
1/15/2021  10:00:00 AM,0.038,0.061,0.021,23,24,23,30,-62,-56,-64.5
1/15/2021  9:00:00 AM,0.037,0.047,0.018,24,24,23,30,-62,-58.5,-66
1/15/2021  8:00:00 AM,0.038,0.052,0.027,23,24,22,30,-63,-59.5,-64.5
